sample_name	p.value	fraction_strand_switches	conf_low	conf_high	nr_strand_switches	max_possible_switches	fdr
PD37456_10	1	0.504504504504504	0.40798770351288	0.600775024212854	56	111	1
PD37456_11	1.04324482963825e-06	0.387368421052632	0.343327193444379	0.432821089499664	184	475	2.19081414224032e-05
PD37456_12	0.917923067315744	0.51063829787234	0.405371478809755	0.615216580830546	48	94	1
PD37456_13	0.488682970903146	0.453333333333333	0.337944278904659	0.572521090777915	34	75	1
PD37456_14	0.409579395927073	0.555555555555556	0.433646445486636	0.672750784365005	40	72	1
PD37456_15	0.644463913894228	0.466666666666667	0.350500490306288	0.585545817922089	35	75	1
PD37456_16	1	0.491228070175439	0.356296487194425	0.627102142720443	28	57	1
PD37456_17	0.768791810138674	0.480769230769231	0.381739238712506	0.580922561076568	50	104	1
PD37456_18	0.334687758736928	0.453846153846154	0.366364881098279	0.543477415183672	59	130	1
PD37456_19	0.709322730322826	0.521739130434783	0.426581942297078	0.615749637149811	60	115	1
PD37456_1	0.921948827626432	0.509615384615385	0.409690833034612	0.608978285037949	53	104	1
PD37456_20	0.258862000165316	0.442477876106195	0.349100044692969	0.538945348133873	50	113	1
PD37456_21	0.250439880619259	0.5546875	0.464279091807082	0.642507743719647	71	128	1
PD37456_22	0.299731696897031	0.559139784946237	0.452378864448235	0.66202967835052	52	93	1
PD37456_23	0.714026312484787	0.521008403361345	0.427523013690394	0.613423458616127	62	119	1
PD37456_24	0.114660355745801	0.40506329113924	0.295989464098408	0.521475150593778	32	79	0.831729690159264
PD37456_25	1	0.5	0.398321129503301	0.601678870496699	50	100	1
PD37456_26	0.645496763557822	0.525423728813559	0.431454601886896	0.618086397267442	62	118	1
PD37456_27	1.81685177899617e-34	0.334323922734027	0.309134845102505	0.360238552332167	450	1346	7.63077747178392e-33
PD37456_28	0.0490552786712578	0.577142857142857	0.500308055405574	0.651319126893293	101	175	0.686773901397609
PD37456_2	0.689054272931468	0.519230769230769	0.437913833743009	0.599803364285763	81	156	1
PD37456_30	NA	NA	NA	NA	NA	NA	NA
PD37456_31	NA	NA	NA	NA	NA	NA	NA
PD37456_32	NA	NA	NA	NA	NA	NA	NA
PD37456_33	1	0.5	0.0125791170934251	0.987420882906575	1	2	1
PD37456_34	NA	NA	NA	NA	NA	NA	NA
PD37456_35	0.548828125	0.636363636363636	0.307904715011677	0.890736556180902	7	11	1
PD37456_36	1	0	0	0.975	0	1	1
PD37456_37	1	0.5	0.0125791170934251	0.987420882906575	1	2	1
PD37456_38	0.548828125	0.636363636363636	0.307904715011677	0.890736556180902	7	11	1
PD37456_39	NA	NA	NA	NA	NA	NA	NA
PD37456_3	0.118818527165609	0.447257383966245	0.382859957341507	0.512990647311434	106	237	0.831729690159264
PD37456_40	NA	NA	NA	NA	NA	NA	NA
PD37456_41	NA	NA	NA	NA	NA	NA	NA
PD37456_42	0.109375	0.2	0.0252107263268334	0.556095462307641	2	10	0.831729690159264
PD37456_43	1	0.6	0.146632799634673	0.947255049473683	3	5	1
PD37456_44	0.183746241311666	0.441379310344828	0.359065626350442	0.52613751463405	64	145	1
PD37456_45	NA	NA	NA	NA	NA	NA	NA
PD37456_46	NA	NA	NA	NA	NA	NA	NA
PD37456_47	0.5	1	0.158113883008419	1	2	2	1
PD37456_48	NA	NA	NA	NA	NA	NA	NA
PD37456_49	1	0.555555555555556	0.212008506778868	0.863004337734833	5	9	1
PD37456_4	0.757189074142406	0.478723404255319	0.374556289613481	0.58426764735361	45	94	1
PD37456_50	NA	NA	NA	NA	NA	NA	NA
PD37456_51	0.5	1	0.158113883008419	1	2	2	1
PD37456_52	1	0	0	0.975	0	1	1
PD37456_53	0.5810546875	0.384615384615385	0.138579338890161	0.684222397085937	5	13	1
PD37456_54	1	1	0.025	1	1	1	1
PD37456_5	0.684858777214403	0.474226804123711	0.371889837346333	0.578179643996201	46	97	1
PD37456_6	0.898360820931232	0.506122448979592	0.441734850264791	0.570360147934689	124	245	1
PD37456_7	0.403103909132171	0.538461538461538	0.453200107336956	0.622096648879917	77	143	1
PD37456_8	0.363354187664054	0.448979591836735	0.348332473739967	0.552793090968079	44	98	1
PD37456_9	0.424931929062243	0.531578947368421	0.457982535384365	0.604174668256199	101	190	1
