sample_name	p.value	fraction_strand_switches	conf_low	conf_high	nr_strand_switches	max_possible_switches	fdr
PD34493_FINAL_100	1	0.538461538461538	0.251345482270304	0.807767558198712	7	13	1
PD34493_FINAL_101	0.0869488997299111	0.379310344827586	0.255107652245154	0.516282340086626	22	58	1
PD34493_FINAL_102	0.204339589338218	0.553459119496855	0.472665730627115	0.632222465044727	88	159	1
PD34493_FINAL_103	0.5810546875	0.384615384615385	0.138579338890161	0.684222397085937	5	13	1
PD34493_FINAL_104	0.125	0.142857142857143	0.00361029686190059	0.578723197043195	1	7	1
PD34493_FINAL_105	1	0.505263157894737	0.400721077074154	0.609468235922719	48	95	1
PD34493_FINAL_106	1	0.476190476190476	0.257130626406407	0.702193161216357	10	21	1
PD34493_FINAL_107	0.5	0	0	0.841886116991581	0	2	1
PD34493_FINAL_108	0.548828125	0.363636363636364	0.109263443819098	0.692095284988323	4	11	1
PD34493_FINAL_109	0.65699246758636	0.469135802469136	0.357266826475935	0.583328190951425	38	81	1
PD34493_FINAL_10	0.135130895243103	0.469860896445131	0.430844323725925	0.509153610463728	304	647	1
PD34493_FINAL_110	0.4239501953125	0.357142857142857	0.127598429859159	0.648619889384008	5	14	1
PD34493_FINAL_111	1	0.505494505494505	0.398618667794983	0.612002832058248	46	91	1
PD34493_FINAL_112	0.230064186255505	0.542222222222222	0.47471367544065	0.608603615853399	122	225	1
PD34493_FINAL_113	0.60723876953125	0.6	0.322869766206282	0.836635676140487	9	15	1
PD34493_FINAL_114	1	0.494623655913978	0.389285463077351	0.600313611591472	46	93	1
PD34493_FINAL_115	0.4239501953125	0.642857142857143	0.351380110615992	0.872401570140841	9	14	1
PD34493_FINAL_116	0.480682373046875	0.611111111111111	0.357451205893063	0.827014145210248	11	18	1
PD34493_FINAL_117	1	0.571428571428571	0.184051567640083	0.901011721557492	4	7	1
PD34493_FINAL_118	0.833293310341435	0.493074792243767	0.440357518682936	0.545906546077674	178	361	1
PD34493_FINAL_119	0.000104947166919422	0.335664335664336	0.258934257160195	0.419362709217213	48	143	0.0183657542108988
PD34493_FINAL_11	0.27777993288794	0.478991596638655	0.44180074238095	0.516356692354609	342	714	1
PD34493_FINAL_120	1	0.461538461538462	0.192232441801288	0.748654517729696	6	13	1
PD34493_FINAL_121	1	1	0.025	1	1	1	1
PD34493_FINAL_122	0.5078125	0.333333333333333	0.0748546314196918	0.70070494379146	3	9	1
PD34493_FINAL_123	0.523467063903809	0.409090909090909	0.207093122997149	0.636453038270269	9	22	1
PD34493_FINAL_124	0.523467063903809	0.409090909090909	0.207093122997149	0.636453038270269	9	22	1
PD34493_FINAL_125	0.814529418945313	0.444444444444444	0.2153015073873	0.692428341001244	8	18	1
PD34493_FINAL_126	1	1	0.025	1	1	1	1
PD34493_FINAL_127	0.295352405876936	0.458100558659218	0.38355724823827	0.534054529033668	82	179	1
PD34493_FINAL_128	1	0.5	0.067585986488543	0.932414013511457	2	4	1
PD34493_FINAL_129	1	0.4	0.0527449505263169	0.853367200365327	2	5	1
PD34493_FINAL_12	0.164089121989116	0.466666666666667	0.420584396015358	0.513175441531492	217	465	1
PD34493_FINAL_130	1	0.4	0.0527449505263169	0.853367200365327	2	5	1
PD34493_FINAL_131	0.596614895854146	0.5625	0.376625731590094	0.736361875589015	18	32	1
PD34493_FINAL_132	0.4239501953125	0.357142857142857	0.127598429859159	0.648619889384008	5	14	1
PD34493_FINAL_133	0.289892523775207	0.457142857142857	0.381769898510082	0.533992205575148	80	175	1
PD34493_FINAL_134	0.049041748046875	0.235294117647059	0.0681077404373567	0.49899327320458	4	17	1
PD34493_FINAL_135	0.0887824252220797	0.397435897435897	0.288303215625847	0.514600921206077	31	78	1
PD34493_FINAL_136	1	0.506666666666667	0.388638978591519	0.624151836171299	38	75	1
PD34493_FINAL_137	1	0.5	0.067585986488543	0.932414013511457	2	4	1
PD34493_FINAL_138	1	0.5	0.157012770487058	0.842987229512942	4	8	1
PD34493_FINAL_139	1	0.5	0.187086028447399	0.812913971552601	5	10	1
PD34493_FINAL_13	0.961090387301621	0.497619047619048	0.448773490134314	0.546498372271153	209	420	1
PD34493_FINAL_140	1	0.494252873563218	0.38528490004417	0.603623190227127	43	87	1
PD34493_FINAL_141	0.694004094076131	0.53448275862069	0.398724907194383	0.666599650355953	31	58	1
PD34493_FINAL_142	0.600306158271771	0.48068669527897	0.414995070083613	0.54687589684624	112	233	1
PD34493_FINAL_143	0.625	0.75	0.194120449683243	0.99369053679029	3	4	1
PD34493_FINAL_144	0.3017578125	0.666666666666667	0.383803732541154	0.881758896633119	10	15	1
PD34493_FINAL_145	0.135156450845671	0.622222222222222	0.465410112646373	0.762321755272202	28	45	1
PD34493_FINAL_146	0.590053331776636	0.454545454545455	0.319700679995166	0.594455108842661	25	55	1
PD34493_FINAL_147	1	0.5	0.187086028447399	0.812913971552601	5	10	1
PD34493_FINAL_148	0.160779601811988	0.607843137254902	0.461140989579808	0.741556364717817	31	51	1
PD34493_FINAL_149	0.760791642561346	0.534883720930233	0.376547260110076	0.68823812097765	23	43	1
PD34493_FINAL_14	0.939599371952146	0.505747126436782	0.429048442435821	0.582246705693588	88	174	1
PD34493_FINAL_150	1	1	0.025	1	1	1	1
PD34493_FINAL_151	0.903597345683517	0.514705882352941	0.390298187979721	0.637791907702399	35	68	1
PD34493_FINAL_152	NA	NA	NA	NA	NA	NA	NA
PD34493_FINAL_153	NA	NA	NA	NA	NA	NA	NA
PD34493_FINAL_154	0.180367598972698	0.466819221967963	0.41926211094113	0.514828418942507	204	437	1
PD34493_FINAL_155	0.361176305314471	0.472312703583062	0.415343536567631	0.529821229148837	145	307	1
PD34493_FINAL_156	0.889883965276538	0.480769230769231	0.340119151120567	0.623686510563013	25	52	1
PD34493_FINAL_157	0.25	1	0.292401773821287	1	3	3	1
PD34493_FINAL_158	0.720100131817163	0.548387096774194	0.360342327160817	0.726835013996265	17	31	1
PD34493_FINAL_159	1	0.470588235294118	0.22983268726599	0.721881699668893	8	17	1
PD34493_FINAL_15	0.730789439435811	0.518518518518518	0.430943472204508	0.605263494519523	70	135	1
PD34493_FINAL_160	1	0.5	0.306470961532318	0.693529038467682	14	28	1
